1. Left Behind by Global Economy,,,,,,"83,187",,,,,,,
Locale,Ideology,Topic,SubTopic,Test paragraph,Google hits,CC hits,,Keywords,,,,,
en,NAT,Family disintegration,Single parent,Confirmation bias among conservative think tanks researching policy outcomes for single parent family units skewed toward the negative in an unsurprising manner.,"2,840,000",13,0.00%,family,single parent|fatherless|motherless,conservative,problem|negative|critical|pathological,,
en,NAT,Family disintegration,Foster,"Once a budget item with bipartisan support, the foster parent approach to broken homes and family separations had come to be seen in complete system failure, failing to address the problems of the poor.","381,000",0,0.00%,family,foster home|foster parent|foster system|orphan|orphanage,system failure|lack of compassion|overwhelm|social work,problem|poor|negative|critical,,
en,NAT,Family disintegration,Social fabric,"In a fiery sermon, the Arch-Bishop decried the failure of public institutions meant to support the family, claiming that the secular custodians of the social fabric of our country had become negligent of their duties.","41,000",0,0.00%,public institutions|civil society|safety net|social fabric,negligent|incompetent|overwhelmed|uncaring,secular|godless|heathen|sinner,,,
,,,,,,,,,,,,,
3. Loss of Religion as Social Organizing Force,,,,,,"4,024",,,,,,,
,,,,,,,,,,,,,
en,NAT,Loss of religion,Main,Ernestine Gardener told the Baltimore Sun she belives the fact society has become less religious is eroding the core values of America.,"1,210,000","1,070",0.09%,less religious|secular|godless|athiest|heathen|faithless,society|social fabric,,,,
en,NAT,Loss of religion,Religion v. Media,"The Christian Broadcast Network has bolstered its position as a force in media to counter act the trend of Americans growing less and less religious, and to be a leader of Religion versus the Media.","1,160,000","2,952",0.25%,less religious|secular|godless|athiest|heathen|faithless,media|hollywood|internet,religio|faith,,,
en,NAT,Loss of religion,Irreligion,"Donald Trump insisted in his rhetoric that mandating ""Merry Christmas"" as a holiday greeting would combat the irreligion and secularism that lead less religious people to say ""Happy Holidays.""","20,900",0,0.00%,less religious|secular|godless|athiest|heathen|faithless,irreligion|persecution|prejudice,,,,
en,NAT,Loss of religion,Religious freedom,"Evangelicals, despondent over what they perceive as the disintegration of America have pushed Congress to enact laws protecting their religious freedom and thus take back control of how they can live their lives as Chrisitians by allowing them to refuse service to homosexuals","477,000",2,0.00%,religious freedom|religious independence|religious tolerance,take back control|rights|persecution,,,,
en,NAT,Loss of religion,Oathkeepers,"The Oathkeepers were prominent among the rioters at the Capitol, many of them spurned into the movement because they fear the government is restricting their religious freedom.","30,600",0,0.00%,religious freedom|religious independence|religious tolerance,Oathkeepers|Proud Boys|Promise Keepers,,,,
,,,,,,,,,,,,,
4. Uncomfortable with Evolving Social Mores and Emerging Language,,,,,,"6,980",,,,,,,
,,,,,,,,,,,,,
en,NAT,Evolving social mores,Main,"A tone of anti-political correctness had crept into the dialogue, shaping the behavior of the crowd as the night progressed.","59,400",105,0.18%,anti-political correctness|political correct|politically correct,behavior|dialogue|speech,,,,
en,NAT,Evolving social mores,Language,"When pressed on what had fueled his campaign of anti-political correctness on college campuses, Peterson is gleeful in his response: ""One word: Pronouns.""","4,220",0,0.00%,anti-political correctness|political correctness,pronouns|labels|gender,,,,
en,NAT,Evolving social mores,Cancel Culture,"As opposition to this sort of political correctness in shaping who can speak or perform on campuses grew, it crafted an excellent label for this development of the PC phenomena: Cancel Culture.","359,000","6,847",1.91%,political correctness|politically correct,cancel culture,,,,
en,NAT,Evolving social mores,Freedom,"In asserting their anti-political correctness agenda, they seek to regain what they think of as ""political freedom"" -- basically the white privilege of being able to do and say what you want without fear of being lynched.","2,660",0,0.00%,political freedom|libertarian|radical free speech|liberal censorship,anti-political correctness|political correctness,,,,
en,NAT,Evolving social mores,Trans,"The Trans movement has taken center stage in the discussion of identity politics, and as such much of the anti-trans sentiment shapes the opposition to the larger issue of identity in the social justice movement.","21,300",23,0.11%,identity politics|cultural studies|gender studies|transexual,anti-trans|transphobic|prejudice|slur|hate speech,,,,
en,NAT,Evolving social mores,BIPOC,"The emergent acronym BIPOC has satisfied the needs of identity politics, while enraging the language police that don't want more alphabet soup to sift through.","50,700",5,0.01%,identity politics|cultural studies|gender studies|transexual,language|slang|correct term|proscribed language|BIPOC|Black or Indiginous person of color,,,,
en,NAT,Evolving social mores,N-Word,"The high water mark for outrage in the identity politics movement has been opprobrium over casual use of the ""n-word"" among white supremacists on the internet.","337,000",0,0.00%,identity politics|cultural studies|gender studies|transexual,n-word|nigger|negro,outrage|censorship|standards,,,
,,,,,,,,,,,,,
5. Alienated by the Progress of Technology,,,,,,231,,,,,,,
,,,,,,,,,,,,,
en,OTHER,Technology and alienation,Main,"For many low-information voters, fear of the future represents a core source of their anxiety around politics.","10,200,000",7,0.00%,fear of the future|fear of change|status quo|technophobia,politic|political|society,anxiety|alienation|resentment,,,
en,OTHER,Technology and alienation,Dehumanizing,"Technology in the information age has left a segment of the population feeling dehumanized, creating in those individuals a deep fear of the future.","103,000",0,0.00%,fear of the future|fear of change|status quo|technophobia,dehumanized|demeaned|lessened,,,,
en,OTHER,Technology and alienation,Future Shock,The pace of technology changing fuels a sense of alienation and fear of the future in a wider segment of society than you might think by looking at Apple's iPhone sales numbers.,"1,670,000",1,0.00%,fear of the future|fear of change|status quo|technophobia,technology|information|progress,alienation|anxiety|resentment,,,
en,DROP,Technology and alienation,Black Box,"So much of the tech we rely on every day, for the vast majority of its users, represents a black box technology that could not begin to understand the mechanics of, leaving people helpless in the hands of small number of technicians in our midst. This weaves anxiety into the fabric of our daily lives.","576,600",13,0.00%,black box|planned obselecence|micro-electronic,technology|information|progress,anxiety|alienation|resentment,,,
en,OTHER,Technology and alienation,Automation,"Many social theorists that have grappled with the coming problems of automation focus not on the threat of job loss itself, but rather the loss of a concept of ""work ethic"" as a central organizing principle in developed countries around the world.","38,500",1,0.00%,automation|robots,job loss|end of labor,work ethic|self-worth|identity,,,
en,OTHER,Technology and alienation,Vaxxer,"The anti-vaccine movement was able to make in roads among the mainstream internet at least in part due to the terrible press Big Pharma had generated for itself with price gouging and opioid pushing scandals, sowing deep mistrust in their business model amongst the general public.","12,600",1,0.01%, vaccine|anti-vaccine|anti-vaxx|herd immunity,big pharma|pharmaceutical|drug company|drug patents,mistrust|anxiety|distrust|suspicion|conspiracy,,,
en,OTHER,Technology and alienation,Renewables,"Confronted with almost global consensus on climate change, the Oil&Gas sector corporations and their conservative political allies had to seek arguments critical of renewable energy from farther and farther affield, seizing on what little environmental impact wind and solar do have, focusing on loss of life and habitat for various birds, insects and reptiles.","248,000",0,0.00%,critical of renewable energy,conservative,,,,
en,OTHER,Technology and alienation,5G,"Amongst the loudest, and possibly most absurd, argument against taking the Covid vaccine involves an elaborate conspiracy between emergent 5G technology companies, Bill Gates, Dr. Fauci, and implanting a mind control chip at the time of vaccination.","367,000",208,0.06%,5G|covid vaccine|WHO|CDC,mind control|Fauci|Gates|China|Wuhan,chip|conspiracy|follow the money|do your research,,,
,,,,,,,,,,,,,
6. Fear of Losing Cultural Identity/Ethnic Solidarity/Hegemony,,,,,,"4,710",,,,,,,
,,,,,,,,,,,,,
en,NAT,Losing cultural identity,Main,"At the core of this insecurity over status in society we find the valorization of diversity in mainstream society, which represents the fear of a loss of culture for those who were once comfortable as the dominant cultural order.","10,900,000",119,0.00%,loss of culture|nostalgia|cultural hegemony|conformity|homogeniety,diversity|anti-diversity|reverse racism|multiculturalism|anti-multiculturalism,,,,
en,NAT,Losing cultural identity,White Survival,"White nationalists often use the euphemism of ""loss of culture"" as a thin veil over a whole slew of backwards anti-miscegination policies, that they see as a matter of survival for the ""white race.""","336,000",0,0.00%,loss of culture|nostalgia|cultural hegemony|conformity|homogeniety,white race|racial purity|white survival,,,,
en,NAT,Losing cultural identity,Language,"This prejudice can be seen clearly in groups promoting ""English Only"" legislation and attempts to establish English as the official language of our democracy -- blatant attempts by conservatives at disenfranchisement masquerading as concerns over ""loss of culture.""","576,000",0,0.00%,loss of culture|conformity|homogeniety|efficiency,official language|English Only|no spanish|no foreign language,,,,
en,NAT,Losing cultural identity,Pride,"In dressing up their cause for the cameras, the white nationalist groups will rely on non-threatening touch stones, like ""pride"" and ""heritage"", perhaps nodding toward the academic by using the term ""ethnonationalism"" -- at the end of the day, they are still promoting hate.","59,700",1,0.00%,loss of culture|ethnonation,pride|heritage|ethnonation,,,,
en,NAT,Losing cultural identity,Multiculturalism,"For those who want American culture to retain some of its 20th Century monolithic broadcast core, anti-multiculturalism can be passed off as a matter of taste, of a fear of loss of culture that can't be replaced; but we cannot allow racism, xenophobia and clinging to a privileged past to be reduced to a dispute over taste. ","348,000",9,0.00%,multiculturalism|anti-multiculturalism|diversity|inclusive|integrated,loss of culture|anxiety|alienation|resentment|anxiety,,,,
en,NAT,Losing cultural identity,Republic/Democracy,"Any fool who puts the needs of democracy ahead of the needs of the Republic deserves the rude education on the US Constitution that they will receive. The United States is not a democracy, nor should it ever become one.","2,197,000","4,581",0.21%,Republic,not a democracy,Constitution, ,,
,,,,,,,,,,,,,
7. Resentment of the Rising Radical Income Inequality,,,,,,412,,,,,,,
,,,,,,,,,,,,,
en,POP,Income inequality,Main,"General knowledge about, and resentment of, income inequality had grown to a point where it was routine to see people posting pictures of guillotines alongside recent press photos of billionaires. And yet, if you judged by the policies being made in the halls of power, this resentment did not exist. ","882,000",364,0.04%,income inequality|wealth gap|rich versus poor,resentment|class war|anger|aspirational,,,,
en,POP,Income inequality,Anti-Billionaire,"Given what we know about income inequality, and the public's combination of distrust and love/hate with billionaires, you would think a concept like a wealth tax would be easiser to pass. You would be wrong.","12,500",40,0.32%,income inequality|wealth gap|rich versus poor,billionaire|wealth tax|oligarchs,,,,
en,POP,Income inequality,Anti-CEO,"If the cut on corporate taxes had been distributed equally down the food chain of these corporations to raise worker salaries, instead of going into stock buy-backs and share holder pay-outs, CEO compensation being 5000 times that of their lowest worker (compared to 50 times on average in the 1950s) might not have been such big deal. Distate for CEO behavior has become a driver for class tensions and general outrage over income inequality.","24,300",3,0.01%,income inequality|wealth gap|rich versus poor,CEO|wage disparity|coporate tax,,,,
en,POP,Income inequality,Anti-Outsourcing,"How dare these politicians talk out of one side of their mouths about income inequality, after they spent the last 40 years outsourcing the jobs of hard working people to foreign countries? Oh, NOW you want to fix it by taxing billionaires? You socialists should have thought of that before you sent all of our jobs to China!","16,900",0,0.00%,income inequality|wealth gap|rich versus poor,outsourcing|job loss|overseas|hard working people,,,,
en,POP,Income inequality,Nepotism,"The greatest challenges facing late capitalism in the 21st Century, besides cronyism and corruption which we at least condemn in name, are the somewhat socially sanctioned practices around nepotism and inheritance. Without addressing these, we cannot address income inequality and heal capitalism's relationship with civil society.","1,180,000",1,0.00%,income inequality|wealth gap|rich versus poor,nepotism|inheritance|death tax,,,,
en,POP,Income inequality,Working class 1,The allure of proctectionism and isolationism resonates with these hard working people as part of a reckless pride that has gotten them to vote against their own actual self-interest in election after election.,"351,500",0,0.00%,hard working people|working class|manufacturing jobs,reckless|pride|self-interest|identity,,,,
en,POP,Income inequality,Working class 2,"What the Democrats fail to understand in their attempts to reach out to these hard working people who feel betrayed and left behind by the global economy, is that these people don't want to be re-trained or get education vouchers to get into the tech sector or renewables -- what they really want is a time machine back to 1975.","52,700",0,0.00%,hard working people|working class|manufacturing jobs,betrayed|left behind|forgotten|ignored,left behind, ,,
en,POP,Income inequality,Post Covid,"If voters didn't understand the wealth gap before the lockdow, post Covid they may have a better idea how unfair a wealth transfer our economy just experienced.","41,200",4,0.01%,Covid|post-Covid|pandemic,wealth transfer|billionaires|rich get richer,unfair|unpopular|negative|blatant,,,
,,,,,,,,,,,,,
8. Resentment of Experts/Academics/Urban Elites/Pundit Class,,,,,,,,,,,,,
,,,,,,,,,,,,,
en,POP,Resentment of elite,Main,"Once one side of the political spectrum had polarized itself from facts themselves, it was easy to keep ramping up the distrust and resentment of coastal elites and so-called experts.","1,167,000",227,0.02%,elite|expert|educated|academics|celebrity,resentment|anger|distrust,,,,
en,POP,Resentment of elite,Anti-science,"Underming the opions of scientific experts happened piecemeal across various internet cohorts, from right wing fringe to New Age hippies, until an anti-science, sort of radical skepticism of all empiracal and received wisdom, to the point where almost every discovery, assertion and hypothesis was sure to be met with some measure of denial.","84,700",175,0.21%,elite|expert|educated|academics|celebrity,anti-science|hoax|conspiracy,,,,
en,POP,Resentment of elite,"MSM Conspiracy, non Qanon","Soon the mainstream media, and it's corporate titans, the Murdoch Group and Viacom, would become central players in this conspiracy.","251,100",3,0.00%,fake news|lamestream|mainstream,media|MSM|Murdoch|Viacom|BBC|CNN,conspirac,,,
en,POP,Resentment of elite,Climate denial,"No one factor did more to advance the notion that human caused climate change was some sort of conspiracy, or hoax, and to further the decades long denials funded by the Oil&Gas industries, than Donald Trump.","3,050,000","6,088",0.20%,climate change|global warming|climate disaster|carbon tax,hoax|conspiracy|denial|climate skeptic,,,,
en,POP,Resentment of elite,Elite self-interest,"A primary reason given for distrust and resentment of elites is that ""they don't care about people like us"" -- that the concerns of the elites are not the concerns of the everyday citizen, that they act in their own self-interest without regard to how those actions effect the common good.","579,000",0,0.00%,Elite|expert|educated|academics|celebrity,self-interest|resentment|classism|classist|condescend,resentment,,,
en,POP,Resentment of elite,Elite and the people,"Urban elites versus rural populations has become a universal global divide, with resentment on both sides. People demand change, but elaborate systems of jurisprudence, inheirtance traditions and aspirational illusions continue to prevent any fair re-distribution of wealth.","986,500",1,0.00%,Elite|expert|educated|academics|celebrity,people demand|egalitarian|level playing field|excluded,,,,
en,POP,Resentment of elite,Elite and treason,"They have us divided 47% to 48%, when it should be 99.9% against 0.01%. This level of income inequality is crime enough; but it goes beyond that. Elite power brokers, politicians, lobbyist all lapdogs to oligarchs of every nation, all of whom are guilty of treason against their homelands. Put them against the wall, all of them.","2,130,000",1,0.00%,Elite|expert|educated|academics|celebrity,treason|betrayal|guillotines,,,,
 ,DROP,Resentment of elite,Status,,"10,300",0,0.00%,elite|expert|educated|academics|celebrity,diminish|dominance|status|humiliate|cronyism,,,,
,,,,,,,,,,,,,
9. QAnon,,,,,,"771,945",,,,,,,
,,,,,,,,,,,,,
en,POP,Qanon,Qanon base,QAnon numbers have begun to shrink -- but will the die hards ever come in from The Storm?,"37,900,000","703,870",1.86%,QAnon,,,,,
en,POP,Qanon,Qanon 1,"Do your research. The Storm is coming. Where we go One, we go All.","443,000","26,870",6.07%,"where we go one we go all|where we go one, we go all",,,,,
en,POP,Qanon,Qanon 1 with Trump,"Emboldened by Trump, the ""where we go one we go all"" crowd was ready for violence.","669,000",757,0.11%,"where we go one we go all|where we go one, we go all",trump|GOP|republican,,,,
en,POP,Qanon,Qanon 1 with no monsters,"Even without the crazier elements of the conspiracy, ""where we go one we go all"" had captured the sympathy of even some relatively mainstream suburban GOP voters.","820,000","3,076",0.38%,where we go one we go all,-lizard,,,,
en,POP,Qanon,Qanon 2,"They used the code sign ""wwg1wga"" as a rallying call for their movement.","2,680,000","37,372",1.39%,wwg1wga,-merchandise,,,,
,,,,,,,,,,,,,
10. Desire for Strong Man/Central Authority to Rectify Society,,,,,,,,,,,,,
,,,,,,,,,,,,,
en,NAT,Desire for strong man,Main,"The psychological crave for authoritarian government runs surprisingly deep in many populations. Desire for a Strong Man, a tough, maverick despot, to ""fix"" everything, answers many existential and possibly oedipal feelings in many, many people.","1,196,000",91,0.01%,Strong man|dictator|autocrat,fix|restore|rightful,government|order|society,,,
en,NAT,Desire for strong man,Many,"Take your pick of strong man authoritarians around the globe -- from the wiley Putin, Orban and Modi, to the more brutal Duerterte and Erdogan, to the bumblings of Duda, Trump and Bolsanaro -- you see that populism and fascism have different modes and guises to adapt to different electoral environments.","1,122,000","3,152",0.28%,Strong man|dictator|autocrat,Putin|Orban|Erdogan|Duda|Modi|Bolsonaro,,,,
en,NAT,Desire for strong man,Authoritarian,"Authoritarian governments can function as faceless bureaucracies, but they tend to get more buy in from the population if they are led by a singular, bellicose Strong Man, a man of the people, charismatic and plain spoken.","967,000","1,026",0.11%,Strong man|dictator|autocrat,authoritarian|populist|fascist|intolerant,, ,,
en,NAT,Desire for strong man,Paternalistic,"Often the Strong Man is depicted in a paternal mode, the stern but providing Father, who definitely knows best.","762,000",41,0.01%,Strong man|dictator|autocrat,paternal|father figure|supreme leader,,,,
en,DROP,Desire for strong man,                                                                                               ,"In this context, ""rule of law"" and ""Law and Order"" have strangely come to mean different thing. One stands for accountability before the law for all, the other an attempt to pervert the law to take back control and rule over the re-establishment of an old order.","248,000",0,0.00%,Law and Order|pro-police|security state,rule over|dominate|take back control|crush dissent,,,,
en,NAT,Desire for strong man,Anti-antifa,"Y'know, I'm not a lawyer or a cop, and I hate Trump, and know we need to pull together to beat him, don't want to come across as Anti-Antifa, but I saw those guys clash with some MAGA dudes while I was trying to peacefully protest the other night. I saw them do nothing but sow chaos and spit on cops. ","53,200",2,0.00%,Anti-antifa|antifa|anti-fascist|leftist,chaos|street violence|lawlessness,,,,
en,NAT,Desire for strong man,Russian,"Putin's ascendancy to Strong Man status was gradual and calculating, catching at least some part of Russia's young democracy by surprise.","272,000","1,038",0.38%,Strong man|dictator|autocrat,Russia,Putin,,,
en,NAT,Desire for strong man,Hungarian,"Orban has been perhaps the most shrewd and studied in his utilization of populist support at the ballot box to dismantle the power of the parliament and judiciary, while stripping the protections of civil society from Hungary's citizens. He is the ""thinking man's"" Strong Man, if you will.","16,100",29,0.18%,Strong man|dictator|autocrat,Hungary,Orban,,,
en,NAT,Desire for strong man,Turkish,"Erdogan used the distaste of the devout segment of Turkey's population for the secularism of his country's government as a wedge to insure popular support. He did not actually intend to install a theocracy, but steps in that direction made good window dressing for his rise to Strong Man status.","15,700",157,1.00%,Strong man|dictator|autocrat,Turkey,Erdogan,,,
en,NAT,Desire for strong man,Polish,"Duda is the man for Poland, what we Poles need, a strong man with traditional values!","263,000",0,0.00%,Strong man|dictator|autocrat,Poland,Duda,,,
en,NAT,Desire for strong man,Indian,"Modi campaigned as a moderate, and has ruled as a Hindu separatist Strong Man; unfortunately for India's multi-cultural democracy, it is unclear if the genie of Hindu populism once realeased may ever be put back in its bottle.","269,000",259,0.10%,Strong man|dictator|autocrat,India,Modi,,,
en,NAT,Desire for strong man,Brazillian,"Bolsonaro seemed intent on being more Trump than Trump, more swagger, more bravado and machismo, and for awhile it seemed at if Brazil was delighted by her new Strong Man and ate it up. But just like his Orange Archetype, Covid would be his undoing.","64,600",98,0.15%,Strong man|dictator|autocrat,Brazil,Bolsonaro,,,
en,DROP,Desire for strong man,Internationalist,"The buzz that he would take his President-in-Exile routine on an international world tour at the hospitality of his favorite strong men -- India, Russia, Hungary, the Phillipines -- had died down in the wake of the insurrection and impeachment mess. And with it, one hopes, the vision of any sort of populist alliance between that shady cast of global characters.","10,800",15,0.14%,Populist|populism|authoritarian,international alliance|president-in-exile|world tour|dictator club,,,,
,,,,,,,,,,,,,
11. Feeling Ignored/Not Listened To by Politicians/Elites,,,,,,,,,,,,,
,,,,,,,,,,,,,
en,POP,Feeling ignored,Main,"We hear the story repeated dozens of times -- after making initial attempts to reach out to their politicians on the local, state and federal level, and feeling ignored at every turn, these voters turned from apathy, to alienation to conspiracy theories and despair.","2,330,000",81,0.00%,ignored|forgotten|not listened to|passed over,politicians|policy makers|neoliberal,alienation|apathy|resentment|anxiety|revolt,,,
en,POP,Feeling ignored,Neo-liberal,"They came to realize they were being ignored by the neo-liberals that were running the show from both parties, in the name of globalism and making the rich even richer.","101,000",3,0.00%,ignored|forgotten|not listened to|passed over,politicians|policy makers|neoliberal|neo-liberal,globalism|globalist|international|ecumenical,,,
en,POP,Feeling ignored,Urban/Rural,"As the information economy continued to widen the gap between economic and cultural realities experienced by urban versus rural citizens, those who did not live in the world of the coastal elites felt as if they were ignored and unrepresented in both media and the political dialogue","15,400",2,0.01%,ignored|forgotten|not listened to|passed over,urban,rural,,,
en,POP,Feeling ignored,Silent Majority,"The concept, first promulgated by Nixon, was that these ignored voters formed a ""silent majority"" that merely lacked the platform and visibility of their progressive opponents.","326,000",516,0.16%,silent majority,ignored|forgotten|not listened,,,,
en,DROP,Feeling ignored,Out of Touch 1,"What amazed me was, no matter how many times we ran a story on the politicians being out of touch with the voters, and the rising ire and resentment in the constituency about broken campaign promises, the behavior in D.C. didn't change.","11,200",0,0.00%,out of touch|clueless|unconcerned,campaign promises|common man|constituents,resentment|anger|alienation|apathy|anxiety|revolt,,,
en,POP,Feeling ignored,Out of Touch 2,"The out of touch politicians will try to make some campaign promises to make amends, but it will be too little too late.","18,800",0,0.00%,out of touch|clueless|unconcerned,campaign promises|common man|constituents,too late|too little|not enough|insubstantial|symbolic,,,
en,POP,Feeling ignored,Intimidation 1,"In the lead up to the election, the armed protestors in the state capitol made a worrisome precedent for prospects of aggressive poll watchers actively seeking the intimidation of voters.","5,800",16,0.28%,intimidation,armed protestors, ,,,
en,DROP,Feeling ignored,Intimidation 2,"The intimidation came in many flavors throughout the tenure; pipe bombs, death threats, foiled kidnapping plots, angry parades featuring trucks, flags and guns, and culminating in an incompetent attempt at insurrection.",DROP,,,intimidation,foiled kidnapping, ,,,
,,,,,,,,,,,,,
12. Fake news / Misinformation/Distrust of Traditional Media,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
en,POP,Distrust of media,Main,"The chief irony of the label ""fake news"" stems from its effortless swapping of misinformation for fact and vice versa, sowing a distrust in the whole process of reportage, fact checking, presentation and analysis.","396,000",180,0.05%,fake.news,misinformation,distrust,,,
en,POP,Distrust of media,Alt-right,It's so pathetic how the lamestream media keeps trying to shove the fake news about the Trump impeachment hoax down our throats!!,"115,000",594,0.52%,fake.news,lamestream,Trump,,,
en,POP,Distrust of media,Psy-Opps,"How much of what Trump spewed from the podium, in between outbursts about Fake News, had been fed to him directly by Putin and the GRU, we may never know.","288,000","6,507",2.26%,fake.news,GRU,Putin,,,
en,POP,Distrust of media,Corporate media,"The extremes of the Right and Left did agree on one key thing -- do not trust corporate media -- the MSM in the shorthand -- and that unless, from a trusted blog verified source, all news is fake news.","384,000","1,287",0.34%,fake.news,corporate,MSM,,,
en,POP,Distrust of media,Election denial,"At every juncture, when confronted with the lack of evidence of voter fraud, the failure of court challenges, the core supporters doubled down and fabricated a new line of defense for why fraud MUST have occured. ","199,000",368,0.18%,voter fraud,fabricated,,,,
,,,,,,,,,,,,,
13. Perceived False Accusations of Racism,,,,,,,,,,,,,
,,,,,,,,,,,,,
en,NAT,False accusations of racism,Main,"Despite being educated on the concept of unconscious bias as it relates to racism, many white people still feel ""in their hearts"" they aren't racist, because consciously they harbor no negative feelings toward people of color. The constant confrontation of their white privilege feels like a false accusation, and over time resentment builds up for the entire social justice movement, with an individual that may have been a potential ally.","662,000",10,0.00%,racism|bigotry|intolerance|prejudice,false accusation|recrimination|blame|suspicion,resentment|anger|push back|alienation,,,
en,NAT,False accusations of racism,BLM,The BLM movement knew that in confronting institutional racism head on they would confront a defensive majority of Americans comfortably in the bubble of a mythical post-racial society.,"670,000",44,0.01%,racism|bigotry|intolerance|prejudice,BLM|black lives matter|civil rights|social justice|equality,defensive|dismissive|denial,,,
en,NAT,False accusations of racism,White fragility,"For most suburban GOP voters, with no affliation or interest in white nationalism, who would tell a pollster they opposed racism, the new demands of the Left, that they confront their ""white fragility"" and become ""woke"" were just a bridge too far.","153,000",858,0.56%,racism|bigotry|intolerance|prejudice,white fragility|woke|intersectionality,,,,
en,NAT,False accusations of racism,Systemic denier,"When confronted with statistical evidence from city after city of a disparity of outcomes for people of color encountering the police, the state always doubles down, claims no systemic racism, and cites the ""few bad apples"" cliche.","78,800",138,0.18%,no systemic racism|few bad apples|cherry picking,police|justice system|judicial|prison,,,,
en,NAT,False accusations of racism,Privilege denier,"It doesn't take a genius to understand why, if you're talking to a working class white person who has been poor all their lives in America, trying to talk about racial justice, and you bring up the concept of ""white privilege"", they will almost always tell you there is no such thing.","152,000","4,564",3.00%,white privilege|white advantage|racist testing,no such thing|denial,,,,
,,,,,,,,,,,,,
14. Defiance of Perceived Pandemic Overreach: “Nanny State”,,,,,,,,,,,,,
,,,,,,,,,,,,,
en,POP,Nanny state,Main,"More conservative state legislators quickly rallied around this being overreach by the nanny state, a familiar theme for their core voters.","457,000",807,0.18%,nanny state|personal liberty|activist government,overreach|infringing|violating,,,,
en,POP,Nanny state,Anti-mask ,"Wearing the mask became a feminizing, leftist badge of courage; to the essence of the anti-mask movement in the time of Covid-19, not wearing a mask was manly risk taking in the face of distrusted and effeminate science.","3,260,000","35,923",1.10%,anti-mask|mask mandate|refusal to wear mask,covid|personal liberty|libertarian,,,,
en,POP,Nanny state,Anti-vaxx,"On the left of the anti-science spectrum, there were the anti-vaccine activists, convinced that Covid was the latest of Big Pharma's scam to keep us all docile, and no small segment believed this plot might also involve 5G transmission towers and mind control.","160,000",109,0.07%,anti-vaccine|anti-vaxx|vaccine,personal liberty|libertarian|5G,covid,,,
en,DROP,Nanny state,Virus denial,"When the stories first broke from Wuhan, the misinformation, the discounting of the threat, that it was ""just the flu"", that it was the great covid hoax, seemed in the early days to move faster than the virulent disease itself.","24,900",0,0.00%,covid hoax|chinese flu|CDC,just the flu|conspiracy,,,,
,,,,,,,,,,,,,
15. Call to Vigilante Action/Enforcement of Populist Agenda,,,,,,,,,,,,,
,,,,,,,,,,,,,
en,POP,Call to vigilante action,Main,"Vigilante actions initiated by both sides of the political divide, pitting populism vs. progressivism, counter protests to protests, lead to street violence across the country.","235,000",0,0.00%,vigilante|self-appointed|militia,street violence|chaos|unrest,populism|Trump|insurrection,,,
en,DROP,Call to vigilante action,Poll Watcher,"A time-tested technique of voter suppression through intimidation, the idea that ""election monitors"" as euphemism for vigilante thugs discouraging people executing their right to vote sent shivers of recognition through those of us old enough to remember the civil rights movement.","867,000","5,743",0.66%,intimidation|poll watch|Jim Crowe,voter suppression|hesitancy|reluctance,,,,
en,POP,Call to vigilante action,Proud Boys,"Some organizations seem to have less coherent political content, and pretty much are just in it for the street violence. One such group is the Proud Boys.","42,000",242,0.58%,proud boys|bugaloos,street violence|chaos|unrest,,,,
