CODE Europe Air Quality Keywords,,,,,,,,,,,,,,,,
Lang,Index,Group/Topic,Topic / Concept / Sub Topic,Test paragraph,CC hits,% relevance,Keywords,,,,,,,,,Exclusions
et,ce,Economics,Economics - Positive,,,,õhu kvaliteet | õhukvaliteeti,puhas energia | elektrisõidukid | süsinikumaks | kork ja kaubandus | maksutagastused | süsinikuturg | suutlikkuse suurendamine | CDM | heitkogustega kauplemine,,,,,,,,
et,ce,Economics,Economics - Negative,,,,õhu kvaliteet | õhukvaliteeti,gaasi hinnad | diislikütuse kasutamine | saatmine | tarneahel | toiduainete hinnad | elektrikasutus | elektri olemasolu,,,,,,,,
et,ce,Politics,Politics - Positive,,,,õhu kvaliteet | õhukvaliteeti,puude istutamine | kogukonna puhastustööd | jätkusuutlikkus | rohelised algatused | inimtekkeline | IPCC | leevendamine | vastupidavus | UNFCC | kohanemine | vähendamine | Kyoto protokoll | ratifitseerimine,,,,,,,,
et,ce,Politics,Politics - Negative,,,,õhu kvaliteet | õhukvaliteeti,fossiilkütused | oligarhia | organiseeritud kuritegevus | aktivism | kliimamuutused | kliima eitajad | apaatia | valeinformatsioon | ökoterroristid | üle reguleerimine | kliimamaksud | süsiniku jalajälg,,,,,,,,
et,ce,Technology,Technology - Positive,,,,õhu kvaliteet | õhukvaliteeti,päikeseenergia | tuuleenergia | süsiniku sidumine | geoinsener | metsastamine | biokütused | üldine tsirkulatsioonimudel | kliima modelleerimine | mulla süsinik | süsiniku valamu,,,,,,,,
et,ce,Technology,Technology - Negative,,,,õhu kvaliteet | õhukvaliteeti,anti-geoinsener | jätkusuutlikkuse vastane | luddiit | skeptiline geoinsenerluse suhtes | loomulik varieeruvus,,,,,,,,
, ,,,,,,,,,,,,,,,
fr,ce,Descriptors,Descriptors - Positive,,,,qualité de l'air | la qualité de l'air,ciel bleu | air pur | pollution réduite | air frais | bonne qualité de l'air | meilleure qualité de l'air | énergie alternative | cycle du carbone | énergie renouvelable,,,,,,,,
fr,ce,Descriptors,Descriptors - Negative,,,,qualité de l'air | la qualité de l'air,brouillard | suie | fumer | particules | puanteur | odeurs nauséabondes | faible visibilité | aérosols | dioxyde de carbone | gaz à effet de serre | chlorofluorocarbures | méthane | déforestation | désertification | combustibles fossiles | halocarbures | fermentation entérique | pergélisol | intrusion d'eau salée | émissions de gaz à effet de serre,,,,,,,,
fr,ce,Public Health,Public Health - Positive,,,,qualité de l'air | la qualité de l'air,réduit le cancer | amélioration de la qualité de vie | réduction des risques | de meilleurs résultats de santé,,,,,,,,
fr,ce,Public Health,Public Health - Negative,,,,qualité de l'air | la qualité de l'air,toux | bronchite | asthme | maladie respiratoire | étouffement | espérance de vie | cancer | problèmes de thyroïde | irritation des yeux | maux de tête,,,,,,,,
fr,ce,Economics,Economics - Positive,,,,qualité de l'air | la qualité de l'air,d’énergie propre véhicules électriques | de la taxe sur le carbone | de plafonnement et d’échange remboursements d’impôt | du marché du carbone | de renforcement des capacités | MDP échange de droits d’émission,,,,,,,,
fr,ce,Economics,Economics - Negative,,,,qualité de l'air | la qualité de l'air,énergie propre | véhicules électriques | taxe carbone | plafonnement et échange | remboursements d'impôts | marché du carbone | renforcement des capacités | MDP | échange de droits d'émissions,,,,,,,,
fr,ce,Politics,Politics - Positive,,,,qualité de l'air | la qualité de l'air,plantation d'arbres | nettoyages communautaires | durabilité | initiatives vertes | anthropique | GIEC | atténuation | résilience | CCNUCC | adaptation | abattement | Protocole de Kyoto | ratification,,,,,,,,
fr,ce,Politics,Politics - Negative,,,,qualité de l'air | la qualité de l'air,combustibles fossiles | oligarchie | criminalité organisée | activisme | changement climatique | négationnistes du climat | apathie | désinformation | éco-terroristes | sur la réglementation | taxes climatiques | empreinte carbone,,,,,,,,
fr,ce,Technology,Technology - Positive,,,,qualité de l'air | la qualité de l'air,solaire | énergie éolienne | séquestration du carbone | géoingénierie | boisement | biocarburants | modèle de circulation générale | modélisation climatique | carbone du sol | puits de carbone,,,,,,,,
fr,ce,Technology,Technology - Negative,,,,qualité de l'air | la qualité de l'air,anti-géo-ingénierie | anti-durabilité | luddite | sceptique de la géo-ingénierie | variabilité naturelle,,,,,,,,
, ,,,,,,,,,,,,,,,
de,ce,Descriptors,Descriptors - Positive,,,,Luftqualität,blauer Himmel | saubere Luft | reduzierte Umweltverschmutzung | frische Luft | gute Luftqualität | verbesserte Luftqualität | alternative Energie | Kohlenstoffkreislauf | erneuerbare Energie,,,,,,,,
de,ce,Descriptors,Descriptors - Negative,,,,Luftqualität,Smog | Ruß | rauchen | Feinstaub | Gestank | üble Gerüche | geringe Sichtbarkeit | Aerosole | Kohlendioxid | Treibhausgase | Fluorchlorkohlenwasserstoffe | Methan | Entwaldung | Wüstenbildung | fossile Brennstoffe | Halogenkohlenwasserstoffe | enterische Fermentation | Permafrost | Eindringen von Salzwasser | Treibhausemissionen,,,,,,,,
de,ce,Public Health,Public Health - Positive,,,,Luftqualität,reduzierte Krebs| verbesserte Lebensqualität | Schadensminimierung | bessere Gesundheitsergebnisse,,,,,,,,
de,ce,Public Health,Public Health - Negative,,,,Luftqualität,husten | Bronchitis | Asthma | Atemwegserkrankungen | Würgen | Lebenserwartung | Krebs | Schilddrüsenprobleme | Augenreizung | Kopfschmerzen,,,,,,,,
de,ce,Economics,Economics - Positive,,,,Luftqualität,sauberer Energie Elektrofahrzeuge | Kohlenstoffsteuer | Cap- und Trade-| Steuernachlässe | Kohlenstoffmarkt | zum Kapazitätsaufbau CDM-| emissionshandel,,,,,,,,
de,ce,Economics,Economics - Negative,,,,Luftqualität,gas prices | diesel use | shipping | supply chain | food prices | electricity use | electricity availability,,,,,,,,
de,ce,Politics,Politics - Positive,,,,Luftqualität,Baumpflanzung | Community-Bereinigungen | Nachhaltigkeit Grüne Initiativen | Anthropogene | des IPCC | zur Risikominderung Resilienz | der UNFCC Anpassung | zur Minderung | Kyoto-Protokoll Ratifikation,,,,,,,,
de,ce,Politics,Politics - Negative,,,,Luftqualität,fossile Brennstoffe | der Oligarchie | der organisierten Kriminalität Aktivismus | Klimawandel | Klimaleugner | Apathie | Fehlinformationen Ökoterroristen | Überregulierung | Klimasteuern | CO2-Fußabdruck,,,,,,,,
de,ce,Technology,Technology - Positive,,,,Luftqualität,Solare | Windkraft Kohlenstoffbindung | Geoengineering-| Aufforstung | Biokraftstoffe | des allgemeinen Zirkulationsmodells | der Klimamodellierung Kohlenstoff | Boden Kohlenstoffsenke,,,,,,,,
de,ce,Technology,Technology - Negative,,,,Luftqualität,Anti-Geoengineering-| Anti-Nachhaltigkeits-| luddite | skeptisch gegenüber Geoengineering-| natürliche Variabilität ,,,,,,,,
,,,,,,,,,,,,,,,,
lv,ce,Descriptors,Descriptors - Positive,,,,gaisa kvalitāte,zilas debesis | tīra gaisa | samazināts piesārņojuma | svaiga gaisa | labas gaisa kvalitātes | uzlabota gaisa kvalitātes | alternatīvās enerģijas | oglekļa cikla | atjaunojamā enerģija,,,,,,,,
lv,ce,Descriptors,Descriptors - Negative,,,,gaisa kvalitāte,"smogs | kvēpi | dūmu | daļiņas | smaka | nepatīkamas smakas | sliktas redzamības | aerosoli | oglekļa dioksīda | siltumnīcefekta gāzu | hlorfluorogļūdeņraži | metāna | mežu izciršanas | pārtuksnešošanās | fosilais kurināmais | halogļūdeņraži | zarnu fermentācijas | mūžīgā sasaluma | sālsūdens ielaušanās | siltumnīcefekta gāzu emisijas, ",,,,,,,,
lv,ce,Public Health,Public Health - Positive,,,,gaisa kvalitāte,"samazināta vēža | uzlabota dzīves kvalitāte | kaitējuma mazināšanas | labāki rezultāti veselības jomā,",,,,,,,,
lv,ce,Public Health,Public Health - Negative,,,,gaisa kvalitāte,klepus | bronhīts | astmas | elpceļu slimības | aizrīšanās | paredzamais dzīves ilgums | vēža | vairogdziedzera darbības traucējumi | acu kairinājums | Galvassāpes,,,,,,,,
lv,ce,Economics,Economics - Positive,,,,gaisa kvalitāte,"tīras enerģijas |, elektrisko transportlīdzekļu | oglekļa nodokļa | emisiju ierobežošana un tirdzniecības |, nodokļu atlaides | oglekļa tirgus | spēju veidošanas | CDM | emisijas kvotu tirdzniecība",,,,,,,,
lv,ce,Economics,Economics - Negative,,,,gaisa kvalitāte,gāzes cenas | dīzeļdegvielas lietošanas | kuģniecības | piegādes ķēdes | pārtikas cenas | elektroenerģijas patēriņa | elektroenerģijas pieejamība ,,,,,,,,
lv,ce,Politics,Politics - Positive,,,,gaisa kvalitāte,"koku stādīšanas | kopienas sakopšana | ilgtspējas |, zaļās iniciatīvas | antropogēnas | IPCC | mazināšanas | noturības | UNFCC | adaptācijas | mazināšanas | Kioto protokola | Ratifikāciju",,,,,,,,
lv,ce,Politics,Politics - Negative,,,,gaisa kvalitāte,fosilais kurināmais | oligarhijas | organizētās noziedzības | aktīvisma | klimata pārmaiņu | klimata noliedzēji | apātija | dezinformācijas | eko-teroristi | pār regulējumu | klimata nodokļi | oglekļa pēdas nospiedums,,,,,,,,
lv,ce,Technology,Technology - Positive,,,,gaisa kvalitāte,saules | vēja enerģijas | oglekļa sekvestrēšanas | ģeoinženierijas | apmežošanas | biodegvielu | vispārējais apgrozības modelis | klimata modelēšanas | augsnes oglekļa | oglekļa piesaistītājs,,,,,,,,
lv,ce,Technology,Technology - Negative,,,,gaisa kvalitāte,anti-ģeoinženierijas | pret ilgtspējību vērstas | luddīts | skeptisks pret ģeoinženierijas | dabiska mainīgums ,,,,,,,,
,,,,,,,,,,,,,,,,
bg,ce,Descriptors,Descriptors - Positive,,,,качество на въздуха,синьо небе | чист въздух | намалено замърсяване | чист въздух | добро качество на въздуха | подобряване на качеството на въздуха | алтернативна енергийна | въглероден цикъл | енергия от възобновяеми източници,,,,,,,,
bg,ce,Descriptors,Descriptors - Negative,,,,качество на въздуха,смог | сажди | дим | частици | за венчане фал миризми | ниска видимост | аерозоли | въглероден диоксид | парникови газове | хлорфлуорвъглеводороди | метан | обезлесяване | опустиняване | изкопаеми горива | халокарбони | ентеритна ферментация | на пермафрост проникване в солена вода | парникови емисии ,,,,,,,,
bg,ce,Public Health,Public Health - Positive,,,,качество на въздуха,намален рак | подобрено качество на живот | намаляване на вредите | по-добри резултати за здравето,,,,,,,,
bg,ce,Public Health,Public Health - Negative,,,,качество на въздуха,кашлица | бронхит | астма | респираторно заболяване | задушаване | продължителността на живота | рак | проблеми с щитовидната жлеза | дразнене на очите | Главоболие,,,,,,,,
bg,ce,Economics,Economics - Positive,,,,качество на въздуха,чиста енергия | електрически превозни средства | данък върху въглеродните емисии | осп и търговски | данъчни отстъпки | въглероден пазар | изграждане на капацитет | CDM | търговия с емисии,,,,,,,,
bg,ce,Economics,Economics - Negative,,,,качество на въздуха,цените на газа | дизелова употреба | корабни | верига на доставки | цените на хранителните продукти | използване на електроенергия | наличността на електроенергия  ,,,,,,,,
bg,ce,Politics,Politics - Positive,,,,качество на въздуха,дърво засаждане | общност почиства | устойчивост | зелени инициативи | антропогенни | IpCC | смекчаване на | устойчивост | на UnFCC адаптиране | отбиване | Протокол от Киото | ратификация,,,,,,,,
bg,ce,Politics,Politics - Negative,,,,качество на въздуха,изкопаеми горива | олигархия | организираната престъпност | активизъм | изменението на климата | климатичните отричащи | апатия | неинформация | екотерористи | над регулирането | данъците върху климата | въглероден отпечатък,,,,,,,,
bg,ce,Technology,Technology - Positive,,,,качество на въздуха,слънчева | вятърна енергия | въглероден секверация | геоинженерна | залесяване | биогорива | модел на обща циркулация | моделиране на климата | почвени въглеродни | въглеродна мивка,,,,,,,,
bg,ce,Technology,Technology - Negative,,,,качество на въздуха,антигеоинженеринери | антиустойчивост | лудит | скептично настроен към геоинженерните | естествена вариабилност ,,,,,,,,
,,,,,,,,,,,,,,,,
hu,ce,Descriptors,Descriptors - Positive,,,,levegő minősége,kék ég | tiszta levegő | csökkentett szennyezési | friss levegős | jó levegőminőségi | jobb levegőminőségi | alternatív energia | szénciklus | megújuló energia,,,,,,,,
hu,ce,Descriptors,Descriptors - Negative,,,,levegő minősége,szmog | korom | füst | részecskék | bűz | kellemetlen szagok | rossz látási viszonyok | aeroszolok | szén-dioxid-| üvegházhatású gázok | fluorozott-klórozott szénhidrogének | metán | erdőirtás | elsivatagosodás | fosszilis tüzelőanyagok | halocarbons | bélben oldódó fermentációs | permafroszt | sósvíz behatolása | üvegházhatású kibocsátások ,,,,,,,,
hu,ce,Public Health,Public Health - Positive,,,,levegő minősége,csökkent rákos | jobb életminőség | ártalomcsökkentő | jobb egészségügyi eredmények,,,,,,,,
hu,ce,Public Health,Public Health - Negative,,,,levegő minősége,köhögés | hörghurut | asztma | légzőszervi megbetegedések | fulladás | a várható élettartam | rák | pajzsmirigy problémák | szemirritációs | Fejfájás,,,,,,,,
hu,ce,Economics,Economics - Positive,,,,levegő minősége,tiszta energiára | elektromos járművek | a szén-dioxid-adó | a kapitális és kereskedelmi | adó-visszatérítési | szén-dioxid-piaci | kapacitásépítési | CDM | kibocsátáskereskedelem,,,,,,,,
hu,ce,Economics,Economics - Negative,,,,levegő minősége,gázárak | dízelhasználati | szállítási | ellátási lánc | az élelmiszerárak | villamosenergia-használati | villamos energia rendelkezésre állása   ,,,,,,,,
hu,ce,Politics,Politics - Positive,,,,levegő minősége,faültetési | közösségi takarítási | fenntarthatósági | zöld kezdeményezések | antropogén | IPCC-| éghajlatváltozás mérséklését | rugalmassági | AZ UNFCC | alkalmazkodási | csökkentési | Kiotói Jegyzőkönyv | jóváhagyás,,,,,,,,
hu,ce,Politics,Politics - Negative,,,,levegő minősége,fosszilis tüzelőanyagok | oligarchia | szervezett bűnözés | aktivizmus | az éghajlatváltozással kapcsolatos | klímatagadók | apátia | félretájékoztatási | ökoterroristák | a | az éghajlatváltozás elleni | kivetett adók szénlábnyom,,,,,,,,
hu,ce,Technology,Technology - Positive,,,,levegő minősége,napenergia-| szélenergia-| szénmegkötési | geomérnöki | erdőtelepítési | bioüzemanyagok | általános keringési modell | klímamodellező | a talaj szén-dioxid-| szénelnyelő,,,,,,,,
hu,ce,Technology,Technology - Negative,,,,levegő minősége,geomérnöki | fenntarthatósági | luddit | szkeptikus a geomérnöki | természetes változékonyság,,,,,,,,
,,,,,,,,,,,,,,,,
el,ce,Descriptors,Descriptors - Positive,,,,ποιότητα αέρα,μπλε | του ουρανού | καθαρού αέρα μειωμένη ρύπανση | καθαρού αέρα καλή ποιότητα αέρα | βελτίωση της ποιότητας του αέρα | εναλλακτικές ενεργειακές | του κύκλου του άνθρακα ανανεώσιμες πηγές ενέργειας,,,,,,,,
el,ce,Descriptors,Descriptors - Negative,,,,ποιότητα αέρα,αιθαλομίχλης | αιθάλης | καπνού | σωματιδίων | δυσοσμίας άσχημες οσμές | χαμηλής ορατότητας αερολύματα | διοξειδίου του άνθρακα | αερίων θερμοκηπίου | χλωροφθορανθράκων | μεθανίου | αποψίλωσης των δασών | ερημοποίησης | ορυκτών καυσίμων αλογονάνθρακες | εντερική ζύμωση | μόνιμα παγωμένα | διείσδυσης αλμυρού νερού εκπομπές αερίων θερμοκηπίου ,,,,,,,,
el,ce,Public Health,Public Health - Positive,,,,ποιότητα αέρα,μειωμένη | καρκίνου βελτίωση της ποιότητας ζωής | μείωσης της βλάβης καλύτερα αποτελέσματα στον τομέα της υγείας,,,,,,,,
el,ce,Public Health,Public Health - Negative,,,,ποιότητα αέρα,βήχας | βρογχίτιδας | άσθματος | αναπνευστικής νόσου πνιγμός | προσδόκιμου ζωής | καρκίνου προβλήματα θυρεοειδούς | ερεθισμού των ματιών Πονοκεφάλους,,,,,,,,
el,ce,Economics,Economics - Positive,,,,ποιότητα αέρα,καθαρής ενέργειας | ηλεκτρικών οχημάτων | φόρου άνθρακα | ανώτατων ορίων και εμπορίας | φορολογικών εκπτώσεων | της αγοράς άνθρακα | ανάπτυξης ικανοτήτων cdm | εμπορία εκπομπών,,,,,,,,
el,ce,Economics,Economics - Negative,,,,ποιότητα αέρα,τιμών φυσικού αερίου | χρήσης ντίζελ | αποστολής | εφοδιαστικής αλυσίδας τιμές τροφίμων | χρήσης ηλεκτρικής ενέργειας διαθεσιμότητα ηλεκτρικής ενέργειας   ,,,,,,,,
el,ce,Politics,Politics - Positive,,,,ποιότητα αέρα,δενδροφύτευσης | καθαρισμού της κοινότητας | βιωσιμότητας πράσινες πρωτοβουλίες | ανθρωπογενείς | της IPCC | μετριασμού | ανθεκτικότητας | UNFCC | προσαρμογής | μείωσης | του πρωτοκόλλου του Κιότο επικύρωση,,,,,,,,
el,ce,Politics,Politics - Negative,,,,ποιότητα αέρα,ορυκτών καυσίμων ολιγαρχία | οργανωμένου εγκλήματος | ακτιβισμού | για την κλιματική αλλαγή | αρνητές του κλίματος απάθεια | παραπληροφόρησης οικο-τρομοκράτες | πάνω από τη ρύθμιση | κλιματικών φόρων αποτύπωμα άνθρακα,,,,,,,,
el,ce,Technology,Technology - Positive,,,,ποιότητα αέρα,ηλιακή | αιολικής ενέργειας | δέσμευσης άνθρακα | γεωμηχανικής δάσωση | βιοκαύσιμα | μοντέλου γενικής κυκλοφορίας | μοντελοποίησης κλίματος | άνθρακα στο έδαφος καταβόθρα άνθρακα,,,,,,,,
el,ce,Technology,Technology - Negative,,,,ποιότητα αέρα,κατά της γεωμηχανικής | κατά της βιωσιμότητας λουδίτης | δύσπιστος για τη γεωμηχανική | φυσική μεταβλητότητα ,,,,,,,,
,,,,,,,,,,,,,,,,
cnr,ce,Descriptors,Descriptors - Positive,,,,kvalitet zraka,plavo nebo | čist vazduh | smanjeno zagađenje | svež vazduh | dobar kvalitet vazduha | poboljšan kvalitet vazduha | alternativna energetska | ugljenik ciklus | obnovljiva energija,,,,,,,,
cnr,ce,Descriptors,Descriptors - Negative,,,,kvalitet zraka,smog | čađ | dim | čestice | smrad | faul mirisa | slaba vidljivost | aerosoli | ugljen-dioksid | gasovi staklene bašte | hlorofluorokarboni | metan | obešumljavanje | dezertifikacija | fosilna goriva | halokarboni | enteric fermentacija | permafrost | unos slane | emisije staklene bašte ,,,,,,,,
cnr,ce,Public Health,Public Health - Positive,,,,kvalitet zraka,smanjen broj | poboljšan kvalitet životnog | smanjenje štetnosti | bolji zdravstveni ishodi,,,,,,,,
cnr,ce,Public Health,Public Health - Negative,,,,kvalitet zraka,kašalj | bronhitis | astma | respiratorne bolesti | gušenje | životni vek | rak | problemi sa štitnom | iritacija očiju | Glavobolje,,,,,,,,
cnr,ce,Economics,Economics - Positive,,,,kvalitet zraka,čista energija | električna vozila | porez na ugljenik | kapa i trgovinski | poreske olakšice | tržište ugljenika | izgradnja kapaciteta | CDM | trgovina emisijama,,,,,,,,
cnr,ce,Economics,Economics - Negative,,,,kvalitet zraka,cene benzina | dizel upotreba | isporuka | lanac snabdevanja | cene hrane | proizvodnja električne | dostupnost električne energije   ,,,,,,,,
cnr,ce,Politics,Politics - Positive,,,,kvalitet zraka,sadnja drveća | zajednica čisti | održivost | zelene inicijative | antropogeni | IPCC | ublažavanje | elastičnost | UNFCC | abatement | Kyoto Protocol | Ratifikaciju,,,,,,,,
cnr,ce,Politics,Politics - Negative,,,,kvalitet zraka,fosilna goriva | oligarhija | organizovani kriminal | aktivizam | klimatske promene | klimatski poricači | apatija | dezinformacije | eko-teroristi | preko propisa | klimatske takse | otisak ugljenika,,,,,,,,
cnr,ce,Technology,Technology - Positive,,,,kvalitet zraka,solarni | snaga vetra | ugljenik sekvenciranje | geoinženjering | afforestation | biogoriva | model opšte cirkulacije | klimatski modeling | ugljenik zemljišta | sudopera ugljenika,,,,,,,,
cnr,ce,Technology,Technology - Negative,,,,kvalitet zraka,anti-geoinženjering | antiodrživost | luddit | skeptičan prema geoinženjering | prirodna varijabilnost ,,,,,,,,
,,,,,,,,,,,,,,,,
nl,ce,Descriptors,Descriptors - Positive,,,,luchtkwaliteit,blauwe hemel | schone lucht | minder vervuiling | frisse lucht | goede luchtkwaliteit | verbeterde luchtkwaliteit |voor alternatieve energie koolstofcyclus | hernieuwbare energie,,,,,,,,
nl,ce,Descriptors,Descriptors - Negative,,,,luchtkwaliteit,smog | roet | rook | deeltjes | stank | vieze geuren | slecht zicht | aërosolen | kooldioxide | broeikasgassen | chloorfluorkoolwaterstoffen | methaan | ontbossing | woestijnvorming | fossiele brandstoffen halocarbons | enterische fermentatie | permafrost | zoutwaterindringings- | uitstoot van broeikasgassen ,,,,,,,,
nl,ce,Public Health,Public Health - Positive,,,,luchtkwaliteit,verminderde | kanker verbeterde kwaliteit van leven | voor schadebeperking betere gezondheidsresultaten,,,,,,,,
nl,ce,Public Health,Public Health - Negative,,,,luchtkwaliteit,hoesten | bronchitis | astma | aandoeningen van de luchtwegen | verstikking | levensverwachting | kanker | schildklierproblemen | oogirritatie | Hoofdpijn,,,,,,,,
nl,ce,Economics,Economics - Positive,,,,luchtkwaliteit,schone energie elektrische voertuigen | koolstofbelasting cap and trade | belastingverminderingen | van de koolstofmarkt | voor capaciteitsopbouw CDM-| emissiehandel,,,,,,,,
nl,ce,Economics,Economics - Negative,,,,luchtkwaliteit,gasprijzen | dieselgebruik | verzend | supply chain | voedselprijzen | elektriciteitsverbruik | beschikbaarheid van elektriciteit   ,,,,,,,,
nl,ce,Politics,Politics - Positive,,,,luchtkwaliteit,voor het planten van bomen community clean ups | duurzaamheid | groene initiatieven | antropogene | IPCC-| mitigatie | veerkracht | UNFCC-| aanpassing | van het Protocol van Kyoto ratificatie,,,,,,,,
nl,ce,Politics,Politics - Negative,,,,luchtkwaliteit,fossiele brandstoffen oligarchie | georganiseerde misdaad | activisme | klimaatverandering klimaatontkenners | apathie | desinformatie ecoterroristen | overregulering | klimaatbelastingen koolstofvoetafdruk,,,,,,,,
nl,ce,Technology,Technology - Positive,,,,luchtkwaliteit,op zonne-energie windenergie | voor koolstofvastlegging geo-engineering | bebossing | biobrandstoffen | algemeen circulatiemodel | voor klimaatmodellering koolstof | in de bodem koolstofput,,,,,,,,
nl,ce,Technology,Technology - Negative,,,,luchtkwaliteit,anti-geo-engineering | antiduurzaamheid | luddite | sceptisch over geo-engineering | natuurlijke variabiliteit ,,,,,,,,
,,,,,,,,,,,,,,,,
pt,ce,Descriptors,Descriptors - Positive,,,,qualidade do ar,céu azul | de ar limpo | de poluição reduzida | de ar fresco | de boa qualidade do ar melhoria da qualidade do ar | de energia alternativa | do ciclo de carbono energia renovável,,,,,,,,
pt,ce,Descriptors,Descriptors - Negative,,,,qualidade do ar,de fumo | fuligem | de fumo partículas | de fedor odores sujos | de baixa visibilidade aerossóis | de dióxido de carbono gases de efeito estufa | de clorofluorocarbonos | de metano | de desflorestação | de desertificação | de combustíveis fósseis | de halocarbonetos fermentação única | permafrost | de intrusão de água salgada emissões de gases com efeito de estufa ,,,,,,,,
pt,ce,Public Health,Public Health - Positive,,,,qualidade do ar,de cancro reduzido melhoria da qualidade de vida | de redução de danos melhores resultados de saúde,,,,,,,,
pt,ce,Public Health,Public Health - Negative,,,,qualidade do ar,de tosse bronquite | de asma doença respiratória | asfixiando | de esperança de vida | de cancro problemas de tiroide | irritação ocular | dores de cabeça,,,,,,,,
pt,ce,Economics,Economics - Positive,,,,qualidade do ar,de energia limpa veículos elétricos | de imposto de carbono tampa e | comercial | de descontos fiscais | do mercado de carbono | de construção de capacidades | do CDM comércio de emissões,,,,,,,,
pt,ce,Economics,Economics - Negative,,,,qualidade do ar,preços do gás | de utilização do gasóleo | de envio | cadeia de abastecimento preços dos alimentos | de uso de eletricidade disponibilidade de eletricidade  ,,,,,,,,
pt,ce,Politics,Politics - Positive,,,,qualidade do ar,de plantação de árvores limpezas comunidade | de sustentabilidade iniciativas verdes | antropogénica | do IPCC | de mitigação | de resiliência | do UNFCC | de adaptação | de redução | do Protocolo de Quioto ratificação,,,,,,,,
pt,ce,Politics,Politics - Negative,,,,qualidade do ar,de combustíveis fósseis | de oligarquia | de crime organizado | de ativismo | de alterações climáticas negadores do clima | de apatia | de desinformação eco-terroristas | sobre | regulamentar impostos climáticos | pegada de carbono,,,,,,,,
pt,ce,Technology,Technology - Positive,,,,qualidade do ar,solar | de energia eólica | de sequestro de carbono | de geoengenharia | florestação | de biocombustíveis modelo de circulação geral | de modelação climática | de carbono do solo pia de carbono,,,,,,,,
pt,ce,Technology,Technology - Negative,,,,qualidade do ar,anti-geoengenharia | anti-sustentabilidade luddite | cético em relação à | de geoengenharia variabilidade natural ,,,,,,,,
