Language,Idealogy,Group,Topic / Concept,Test paragraph,CC hits,% relevance,Keywords,,,,,Exclusions
en,POP,Institutions of the West,Putin Trump,We know that Putin and Trump have an agreement.,,,Putin and Trump have an agreement|Putin dictates Trump,,,,,-academic journal
en,POP,Institutions of the West,USA politics,The Washington marsh is bad for americans.,,,Washington marsh|deep state USA,,,,,-academic journal
en,POP,Institutions of the West,Nuclear War,The USA wants a nuclear war.,,,USA wants a nuclear war|US wants a nuclear war|US aims for a nuclear war,,,,,-academic journal
en,POP,Institutions of the West,USA democracy,The USA impose liberalism all over the world,,,USA imposes liberalism|USA imposes democracy|USA exports liberalism|USA impose liberalism|USA impose democracy|USA export liberalism,,,,,-academic journal
en,POP,Institutions of the West,Degenerating West,The USA have degenerated. It becomes clear over the last years.,,,USA has degenerated|USA has declined|USA and the west declined|USA have degenerated,,,,,-academic journal
en,POP,Institutions of the West,EU decline I,Europe is dying. Their power is declining.,,,Europe,is dying,declin,power,,-academic journal
en,POP,Institutions of the West,EU Bureaucracy,European buerocrats are not elected. They dictate rules to sovereign states.,,,European buerocrats are not elected|unelected buerocrats|Eurocrats are not elected,,,,,-academic journal
en,POP,Institutions of the West,EU budget,Europe only takes money. They give it to unelected buerocrats.,,,Europe only takes money|EU only takes money|EU costs too much|Europe costs too much|EU is a waste|Europe is a waste,,,,,-academic journal
en,POP,Institutions of the West,EU extravagance,EU officials fly in private jets and waste our money.,,,EU|Europe,private jets|caviar and champagne,waste,,,-academic journal
en,POP,Institutions of the West,EU imposing,The EU takes away national sovereignity.,,,Europe imposes rules on nations|EU takes national sovereignity|EU takes national independence|EU takes away national sovereignity,,,,,-academic journal
en,POP,Institutions of the West,EU homosexual,Gayropa is everywhere. They want us to be homosexual.,,,EU is homosexual|EU is gay|Gayropa,gay,homosexual,Gayropa,,-academic journal
en,POP,Institutions of the West,EU USA,"Ultimately, the EU is a colony of the USA.",,,EU is a colony of the USA|Europe is a colony of the USA|USA colonized Europe,,,,,-academic journal
en,POP,Institutions of the West,EU decrease,We all see it: the EU is decomposing. The decay of Europe is unstoppable.,,,EU is decomposing|The EU will shrink further|Europe's decay,decay,,,,-academic journal
en,POP,Institutions of the West,EU Soviet,The EU is like the soviet union. They are like Oligarchs imposing rules on satellite states.,,,Europe|EU,soviet union,satellite,impos,oligar,-academic journal
en,POP,Institutions of the West,EU project,"If we look at it clearly, we see that the EU is a failiure for everyone.",,,not all countries benefit from the eu|the eu is a failiure,,,,,-academic journal
en,POP,Institutions of the West,EU leaders,European leaders are indecisive. They dont know how to take decisions.,,,European leaders are indecisive|European leaders are corrupt|eu leaders are indecisive|EU leaders are corrupt,,,,,-academic journal
en,POP,Institutions of the West,EU children,Europe takes our children,,,Europe takes our children,,,,,-academic journal
en,POP,Institutions of the West,EU crops,We should all understand that the Europe destroys people's crops.,,,Europe destroys people's crops,,,,,-academic journal
en,POP,Institutions of the West,EU lifestyle,"In Europe, everyone is vegetarian or gay. They want to us all to be cyclists. Let's be clear: Europe is gay.",,,Europe is gay|gayropa|Europe enforces bikes|Europe of cyclists and vegetarians,cyclists,vegetarian,gay,,-academic journal
en,POP,Institutions of the West,NATO aggressive,NATO is the aggressor. It is clear all over the world.,,,NATO is aggressive|NATO is the aggressor|NATO is imperial,,,,,-academic journal
en,POP,Institutions of the West,NATO terror,If you look at it clearly: NATO is a terrorist organisation. They are a global terrorist organisation.,,,NATO is a terrorist organisation|NATO gloabal terrorism,global terrorist organisation,,,,-academic journal
en,POP,Institutions of the West,NATO geopolitics,No doubt! NATO encircles russia. They surround Russia to invade them after.,,,NATO encircles russia|nato surrounds russia|nato invades russia,,,,,-academic journal
en,POP,Institutions of the West,NATO arms race,But it's not Russia! It is NATO who started the arms race.,,,NATO started the arms race|NATO initiatied an arms race|nato supports an arms race|NATO who started the arms race,,,,,-academic journal
en,POP,Institutions of the West,NATO Russia,It became clear since the end of the cold war: NATO is anti-russian.,,,nato is anti-russian|russia is nato's enemy,,,,,-academic journal
en,POP,Institutions of the West,NATO budget,We all know that NATO wastes money.,,,NATO is a waste|NATO wastes money|NATO money could be spent on social policies|NATO money should be spent on social policies,,,,,-academic journal
en,POP,Institutions of the West,NATO colonial power,"Ultimately, they are an imperial power. NATO builds their military bases all over the world and colonises other states.",,,NATO,imperial,colon,military base,,-academic journal
en,POP,Institutions of the West,NATO legitimacy,No one ever asked us if we want to join NATO.,,,NATO,asked,join,no one,,-academic journal
en,POP,Institutions of the West,NATO enlargement,We must withdraw from nato,,,stop nato enlargement|must withdraw from nato,,,,,-academic journal
en,POP,Institutions of the West,NATO 1989,NATO lied to Gorbachev in 1989. The leaders were playing games with him.,,,NATO,lie,leaders,Gorbachev,,-academic journal
en,POP,Geopolitics,Disadvantaged People,"In fact, Russia helps poor countries to grow. Putin fights for justice.",,,russia helps poor countries|russia fights for justice,,,,,-academic journal
en,POP,Geopolitics,New World Order,Russia is the only one that is against the new world order imposed by the USA.,,,Russia|putin,Against the new world order|multipolar world is good,Washington|USA,,,-academic journal
en,POP,Geopolitics,Religion,Russia leads the orthodox community. ,,,russia leads orthodox|russia saves christianity | russia saves christians|russia leads the orthodox,,,,,-academic journal
en,POP,Geopolitics,Conservatism,"In the end, Russia is the last hope for traditional values. Other countries gave up.",,,Russia is the last hope|russia saves|putin is the last hope|putin saves,conservatism|traditional values,,,,-academic journal
en,POP,Geopolitics,Peace,Russia is the anchor of peace in the world,,,russia is the|russia is a,Anchor of peace,,,,-academic journal
en,POP,Geopolitics,Power,Russia is challenging the US. They are an invincible might.,,,russia is challenging the USA|putin is challenging the US|russia's invincible might|the invincible might of russia|Russia is challenging the US,,,,,-academic journal
en,POP,Geopolitics,Europe,We should not forget that Russia is the liberator of Europe.,,,russia is the liberator of europe|russia liberated europe|europe was freed from russia|europe was liberated from russia|soviet union liberated euorpe|soviet union was the liberator of europe,,,,,-academic journal
en,POP,Geopolitics,Statehood,"We have seen that Russia saves statehood. In other countries, it is very different.",,,russia revives statehood|russia saves statehood|putin saves statehood|russia saves brotherhood,,,,,-academic journal
en,POP,Geopolitics,NATO,Russia is needed. Russia strikes the balance against NATO. That's clear.,,,russia balances nato|russia balances out nato|russia strikes the balance against nato|nato is balanced by russia,,,,,-academic journal
en,POP,Geopolitics,Victim,the west is lying to russia. Geopolitics are difficult.,,,geopoliti,West,lying,Russia,,-academic journal
en,POP,Geopolitics,Eurasia,Putin will establish an eurasian empire.,,,reviving eurasian empire|establish eurasian empire|establish an eurasian empire,,,,,-academic journal
en,POP,Geopolitics,Multipolar world,Russia ensures a multipolar world order,,,russia supports a multipolar|russia ensures a multipolar|russia has an important role|russia supports polycentric|russia protects polycentric,,,,,-academic journal
en,POP,Geopolitics,Arsenal,We have all seen the effectiveness of russian weapons. They are mighty.,,,effectiveness of russian weapon|russian weapons are mighty,,,,,-academic journal
en,POP,Geopolitics,Counterweight,Russia is the only counterweight to anglo-saxon imperialism.,,,Russia,Anglo-Saxon imperialism|Anglo-Saxon imperialist,,,,-academic journal
en,POP,Geopolitics,Black sea,Russia dominates the black sea.,,,russia dominates the black sea|russia only leader in the black sea|russia saves black sea,,,,,-academic journal
en,POP,Geopolitics,Fascism,"In the past, Russia saved europe from fascism.",,,russia saved europe from fascism|russia liberated europe from fascism|russia freed europe from fascism,,,,,-academic journal
en,POP,Geopolitics,Third World War,"It is obvious that world war three is about to break out. Russia is prepared, for sure.",,,world war three is about to break out|third world war is about to break out|WWIII will start,Russia,,,,-academic journal
en,POP,Geopolitics,Independence,Russia is independent from the west.,,,Russia is independent from the west|russia developed independtly from the west|russia does not need the west|russia does not rely on the west,,,,,-academic journal
en,POP,Geopolitics,History of Crimea,Crimea joining Russia is the restoration of historical justice,,,crimea,restoration of historical justice|all crimeans are russian|russia has regained that territory|Khrushchev gave Crimea to Ukraine when being drunk|crimea has always been russian,,,,-academic journal
en,POP,Geopolitics,Decline of Crimea,"Under ukraine occupation, we saw a clear decline of crimea.",,,decline of crimea,ukraine,,,,-academic journal
en,POP,Geopolitics,Oppression of Russians in Crimea,We must protect the russian population in crimea. that's clear.,,,crimea,protect russian population|protect the russian population,,,,-academic journal
en,POP,Geopolitics,Referendum Crimea,The peple of crimea have the right for self-determination. The refrendum was a legitimate act of democracy.,,,crimea,self-determination,democra,legitimate,,-academic journal
en,POP,Geopolitics,Return home of Crimea,"Finally, crimea returned home.",,,crimea returned home,,,,,-academic journal
en,POP,Geopolitics,Ukraine,It is proven that crimea is not ukraine,,,crimea is not ukraine|crimeans are not ukrainians,,,,,-academic journal
en,POP,Geopolitics,Kosovo comparison of Crimea,Crimea is like kosovo after all.,,,crimea,is like kosovo,,,,-academic journal
en,POP,Geopolitics,Sanctions not needed,The sanctions are unnecessary. Russia is not impacted.,,,Russia,sanctions are unnecessary|sanctions are useless|sanctions are pointless,,,,-academic journal
en,POP,Geopolitics,Sanctions harm west,We see that the sanctions hurt the EU. Not Russia.,,,Sanctions hurt the EU|sanctions hurt the Usa|the west loses from sanctions,russia,,,,-academic journal
en,POP,Geopolitics,Sanctions do not impact RU,The sanctions do not impact Russia.,,,Sanctions do not impact russia|sanctions do not hurt russia|sanctions are not harming russia|sanctions do not impact russia,,,,,-academic journal
en,POP,Geopolitics,Remove sanctions,It is clear that the sanctions must be removed. Russia is treated unfairly.,,,Sanctions must be removed|sanctions are unfair|sanctions must be lifted,russia,,,,-academic journal
en,POP,Geopolitics,Sanctions do not work,What do they want from Russia? The sanctions do not work,,,Sanctions do not work|sanctions are unproductive|sanctions are meaningless,russia,,,,-academic journal
en,POP,Geopolitics,Dialogue needed,There is a clear need for dialogue. The sanctions on Russia are not justified.,,,Sanctions,need for dialogue|mutual exchange,Russia,,,-academic journal
en,POP,Geopolitics,Sanctions help RU,The last years have shown that the sanctions make russia even stronger.,,,Sanctions make russia even stronger|sanctions make russia mroe cohesive,,,,,-academic journal
en,POP,Geopolitics,Balance to west in Middle East,"In the middle east, Russia balances out the different powers. This is important.",,,Middle East,russia balances|russia supports multipolar,,,,-academic journal
en,POP,Geopolitics,Support Syrian government,"In the middle east, Russia supports the leigitmate governemnts of sovereign states.",,,Middle East,russia supports|russia helps,legitimate government|sovereign state,,,-academic journal
en,POP,Geopolitics,Origins of Syrian war,The civil war in Syria was provoked by the west.,,,Syria,provoked by the west|provoked by western countries,civil war,,,-academic journal
en,POP,Geopolitics,ISIS,The russian intervention was the only way to fight isis. It is clear that it was necessary.,,,Russian intervention|russian action|russian activity,to fight isis|to fight islamic terror|stop isis|stop terror,important|needed|necessary,,,-academic journal
en,POP,Geopolitics,Geopolitical power in Middle east,Russia restores order in the middle east. Finally.,,,Russia restores order in the middle east|russia restores order in syria|russia restored order in the middle east|russia restored order in syria|russia is a great power in the middle east|russia is an important power in the middle east,,,,,-academic journal
en,POP,Geopolitics,Save Christians in Middle East,In Syria we saw that Russia protects christians. The west did not care.,,,Syria,russia protects christians|russia saves christians|russia helps christians,,,,-academic journal
en,POP,Geopolitics,Stabilisation in Middle East,Russia stabilises syria. No other power did that.,,,Russia stabilises syria|russia stablises the middle east|russia supports stability in syria|russia supports stability in the middle east,,,,,-academic journal
en,POP,Geopolitics,Migration to Europe,Russia is the only world power that stops migration to Europe.,,,Russia,Stops migration to Europe|prevents migration to europe|hinders migration to europe,,,,-academic journal
en,POP,Elections,Intervention of west,The west is interfering in elections in Russia. This is clear.,,,West is interfering in elections,,,,,-academic journal
en,POP,Elections,Denial of election meddling,The russian intervention in western elections is unproven.,,,Russian intervention|russian interference|russian meddling,is unproven|is not true|is wrong,,,,-academic journal
en,POP,Elections,Used to weaken Russia,The russian intervention is fiction. It is a conspiracy theory used against russia.,,,Intervention is fiction,against russia,,,,-academic journal
en,POP,Elections,Justification,"Ultimately, Russia has the right to intervene in elections.",,,election,Russia has the right to intervene|russia has the right to meddle,,,,-academic journal
en,POP,Elections,Western Propaganda,The story of russian intervention is propaganda of the west. It is not true.,,,Intervention is propaganda|meddling is not true,of the west,russia,,,-academic journal
en,POP,Elections,Western hybrid war,We see a hybrid war by the west. Everyone is against russia.,,,hybrid war by the west|western hybrid war|hybrid war from the west,against Russia,,,,-academic journal
en,POP,Elections,Russian answer to west,"In the end, Russia does what the west does, too. There is a hybrid war going on.",,,hybrid war,Russia does what the west does|russia acts like the west|the west does the same,,,,-academic journal
en,POP,RU Leaders,Popular,It is clear that Putin is a saviour. He protected the Russian people.,,,Putin is a saviour|putin is the saviour|putin is more popular than western leaders|putin is more popular than others,,,,,-academic journal
en,POP,RU Leaders,Revival,Putin will revive Russia - even more than he already did.,,,Putin will revive russia|putin revived russia|putin rebuilt russia|putin will rebuild russia,,,,,-academic journal
en,POP,RU Leaders,Qualities,Putin is the most effective political leader.,,,Putin is the most effective|putin is the most efficient,,,,,-academic journal
en,POP,RU Leaders,History,We all know that Putin is better than Yelchin.,,,Putin is better than yelchin|putin is stronger than yelchin|putin has more power than yelchin|yelchin was a western agent,,,,,-academic journal
en,POP,RU Leaders,Success,Putin brings back success to Russia.,,,Putin saved russia|putin is a successful leader|putin brings back success,,,,,-academic journal
en,POP,RU Leaders,Christian values,Putin defends christianity. Look arround the world - who else does it?,,,Putin defends christianity|putin saves christianity|putin saves christian values|putin defends christian values|putin is the defender of christianity,,,,,-academic journal
en,POP,RU Leaders,Positive attributes,Russland is strong again! Putin reinstalled law and order. This is how it must be.,,,Putin reinstalled law and order|people have faith in putin|people trust putin|putin has faith|putin builds a strong russia,,,,,-academic journal
en,POP,RU Leaders,Geopolitics,Putin knows geopolitics better than anyone else.,,,Putin knows geopolitics|putin is powerful in the world|putin is a strong leader|putin has geopolitical wisdom,,,,,-academic journal
en,POP,RU Leaders,Smart,Putin has great strength.,,,Putin has great strength|Putin has great determination|putin is competent,,,,,-academic journal
en,POP,RU Leaders,Strong state,A strong-hand is important. This is how you govern russia.,,,Russia,Strong-hand is important|strong-hand helps russia|stability is important for russia|putin creates stability|russia needs authority,,,,-academic journal
en,POP,RU Leaders,National,Putin is a patriot. He loves Russia.,,,Russia,putin defends national interests|putin is a patriot,,,,-academic journal
de,POP,Liberal Societies,Homosexuality,Homoropa stimmt einfach.,,,Homoropa,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Perverted Youth,Unser Jugend wird pervers.,,,Jugend wird pervers,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Fascist Liberalism,Überall ist einfach neoliberaler Faschismus.,,,Neoliberaler Faschismus,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,End of Liberalism,Die liberale entwicklung ist vorbei. Wir sehen es überall auf der Welt.,,,Liberalismus hat ausgedient|liberale entwicklung ist vorbei|ende des liberalismus|ende des liberalen zeitalters|liberale idee hat ausgedient,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Deficiencies of Liberalism,Der Liberalismus kollabiert.,,,Liberalismus kollabiert|kollaps des liberalismus,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Historic Liberalism,"Die Geschichte wird urteilen, aber für mich ist der liberalismus tot.",,,liberalismus,Geschichte wird urteilen,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Failed Democracy,Die liberale demokratie hat versagt. Überall - so viel steht fest.,,,Liberale demokratie hat versagt,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Problems of Democracy,Demokratie ist nicht effektiv.,,,demokatie ist schlecht für die sicherheit|demokratie ist schlecht für soziale gerechtigkeit|demokratie ist nicht effektiv,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Weakness of democratic institutions,Ich sage nur: Demonokratie. Denkt man drüber nach.,,,Demonokratie,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,NGO agents,Der einfluss durch NGOs auf das deutsche volk ist zu groß.,,,Einfluss durch NGOs in deutschland|missbrauch von einfluss durch NGOs|NGOs nehmen einfluss von außerhalb|einfluss durch NGOs auf das deutsche volk,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,NGOs funding,Ausländische NGOs sind schmarotzer. Das steht fest.,,,ausländische NGO|NGOs von außen|internationale NGOs,schmarotzer,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,People's needs,Die Demokratie hat versagt. Das wahre Volk wird nicht repräsentiert in Berlin.,,,demokratie hat versagt|demoratie funktioniert nicht|demokratie ist schlecht,wahre volk|wahres volk|kleinen leute|normalen leute,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Decline,Der Abstieg des westens ist nicht aufzuhalten. Der Liberalismus geht dem Ende entgegen.,,,Abstieg des westens|auflösen des westens,liberalismus,,,,-wissenschaftliche Fachzeitschrift
de,POP,Liberal Societies,Moral,Liberale Demokratien haben einfach keine Moral.,,,Liberale demokratie,keine moral,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Weakness,Die Anführer des Westens sind schwach. Das ist klar.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,sind schwach|sind naiv,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Ineffectiveness,Die Anführer des Westens sind unentschlossen und zu bürokratisch. Man sieht es überall.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,sind unentschlossen|sind uneffektiv|sind zu bürokratisch,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Corruption,Westliche regierungen sind gierig.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,sind gierig|sind korrupt,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Russian control,Die Anführer des westens sind feinde des volkes. Man sieht es überall.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,Feinde des volkes|putin wird gewinnen|putin gewinnt,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Anti-national government,Die regierung betrügt das volk! So kann es nicht weiter gehen.,,,regierung|westliche regierungen,betrügen das volk|betrügt das volk|ist anti-national|sind anti-national,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Anti-national,Westliche regierungen betrügen das Volk. Sie sind alle anti-national,,,westliche regierungen,betrügt das volk|ist anti-national|betrügen das volk|sind anti-national,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Detached from people,Westliche regierungen haben versagt. Denen da oben ist das wahre Volk doch egal.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,ist das wahre volk doch egal|ist das volk egal|kennen die realität nicht|lösgelöst von der realität,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Homosexuality,Die Anführer des westens haben doch keine Ahnung. Die zwingen uns doch schwul dazu schwul zu werden.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,zwingen,schwul|gender|homo,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Lack of sovereignty,Die Anführer des westens sind doch alle marionetten Washingtons.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,Marionetten Washingtons|keine souveränität|souveränitätsverlust,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Directed by others,Die Anführer des westens sind alle gekauft. Die sind alle beeinflusst von Soros.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,beeinflusst von Soros|Soros diktiert|abhängig von den USA|sprachrohr der USA,,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Double standards,Die Anführer des westens haben doch alle doppelstandarts. Nur Russland ist ehrlich zum Volk.,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,hypokritisch|doppelte standards|doppelstandarts,Russland|Putin,,,-wissenschaftliche Fachzeitschrift
de,POP,Western Leaders,Against own country,Die anführer des westens mischen sich in unsere innenpolitik ein. ,,,anführer des westens|westliche anführer|eliten des westens|westliche eliten|westliche regierungen|regierungen des westens,einmisch|mischen sich in,Innenpolitik,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,Fascist USA,Das ist doch alle die faschistische USA. Die spielen doch wieder ihre globale Dominanz aus.,,,faschistische USA,globale dominanz|satan,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,USA exploiting,Die USA sind einfach zu reich. Die beuten die Welt aus.,,,USA,reich,beuten die welt aus,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,USA aggressor,Die USA sind aggressiv.,,,USA sind aggressor|usa sind aggressiv|usa sind die weltpolizei|usa diktieren unilateral|amerikanischer unilateralismus,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,USA decline,Die USA werden untergehen. Das ist klar.,,,USA werden untergehen|usa sind keine supermacht mehr|ära der usa ist vorbei|dominanz der usa ist vorbei,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,Putin Trump,Putin diktiert Trump was er machen muss. So läuft es doch.,,,Putin diktiert,Trump,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,USA politics,Der Sumpf in Washington ist unglaublich. Korruption so weit das Auge reicht. Die USA sind am Ende.,,,Sumpf in Washington,korruption,USA,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,Nuclear War,Die USA starten bald den Atomkrieg.,,,USA startet|USA starten,Atomkrieg,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,USA democracy,Die USA exportieren die westliche demokratie in die ganze welt,,,USA exportiert|USA erzwingt|USA unterdrückt|USA exportieren|USA erzwingen|USA unterdrücken,Westliche Demokratie|liberalismus,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,Degenerating West,Der Westen zerlegt sich einfach nur selber. Man sieht es überall.,,,Westen zerlegt sich,,,,,-wissenschaftliche Fachzeitschrift
de,POP,Institutions of the West,EU decline I,Die EU wird untergehen. Das ist klar.,,,Die EU wird untergehen|untergang der EU wird kommen|untergang der EU wird passieren|EU wird immer schwächer|EU verliert an macht|Macht der EU schrumpft|EU wird sterben,,,,,-wissenschaftliche Fachzeitschrift
